ID	SocialGroup	YR.First.Capture	Age.First.Capture	Population	X	Y	1bl.a	1bl.b	1bm.a	1bm.b	1bs.a	1bs.b	1bxl.a	1bxl.b	1gl.a	1gl.b	1gm.a	1gm.b	1gs.a	1gs.b	1gxl.a	1gxl.b	1ys.a	1ys.b	1yxl.a	1yxl.b	2bs.a	2bs.b	2bxl.a	2bxl.b	2gl.a	2gl.b	2gs.a	2gs.b	2gxl.a	2gxl.b	2yl.a	2yl.b	2ys.a	2ys.b	m1.a	m1.b	m10.a	m10.b	m12.a	m12.b	m14.a	m14.b	m15.a	m15.b
J037	PONTINS	1998	NA	Woodchester	382122	200921	255	255	199	193	122	122	315	323	286	286	220	220	138	138	322	326	106	116	324	326	132	138	424	428	231	231	120	120	339	351	174	187	113	113	280	282	156	162	153	161	188	194	247	263
U072	HEDGE	2001	NA	Woodchester	381350	200278	255	255	195	199	122	122	315	323	286	286	222	226	136	136	326	326	106	116	324	334	130	132	426	430	231	235	126	130	346	351	174	189	137	113	282	282	156	160	159	159	186	194	243	263
G017	YEW	1977	ADULT	Woodchester	381619	201268	255	261	193	199	122	122	315	327	286	286	220	222	144	142	322	322	106	125	324	328	138	138	426	426	231	233	120	120	347	351	174	187	113	129	280	282	160	162	157	159	188	194	247	243
R065	YEW	1978	ADULT	Woodchester	381619	201268	255	259	195	199	122	136	315	327	286	286	226	226	140	148	322	326	106	106	324	328	130	132	426	428	233	233	120	120	330	351	174	187	115	115	282	286	162	160	157	159	194	188	263	275
O008	TOP_SETT	1982	ADULT	Woodchester	381795	200962	255	261	199	199	122	134	315	327	284	286	220	222	136	148	322	326	106	106	328	328	132	138	424	428	231	235	120	126	351	330	187	174	115	115	282	282	156	160	153	159	186	194	247	263
O031	COLE_PARK	1982	ADULT	Woodchester	382049	201493	255	255	193	199	132	136	315	327	286	286	220	222	138	144	322	326	106	125	328	328	132	138	424	424	237	237	120	128	347	351	187	189	115	115	282	282	162	162	157	159	186	186	263	275
O035	HEDGE	1982	ADULT	Woodchester	381350	200278	255	255	199	199	122	122	315	315	286	286	222	222	144	136	322	326	106	106	324	328	132	132	424	428	231	235	120	130	333	346	189	193	129	113	282	282	156	162	159	159	196	196	263	263
P028	PEGLARS	1983	ADULT	Woodchester	382355	200596	255	255	193	195	122	120	315	327	286	286	220	222	136	138	322	322	106	116	334	326	132	132	426	428	231	233	120	126	346	338	174	174	115	115	282	282	156	162	159	159	194	186	259	263
F094	FIELD_FARM	1984	ADULT	Woodchester	380936	199687	255	261	193	199	122	122	323	323	286	286	220	222	136	148	322	326	106	106	324	328	130	132	424	426	233	235	120	120	330	351	189	174	113	115	282	282	162	160	159	159	194	188	263	263
N004	HEDGE	1984	ADULT	Woodchester	381350	200278	255	261	193	195	122	122	323	323	286	286	222	224	136	148	322	326	106	106	334	328	132	138	424	428	233	231	120	120	330	346	174	189	115	129	282	286	162	162	157	157	188	188	263	247
