	id	het	f
1	001B	0.636363636	0.219362164
2	001F	0.454545455	0.247594904
3	001G	0.636363636	0.244966808
4	001L	0.363636364	0.228469539
5	001N	0.818181818	0.14992125
6	001P	0.454545455	0.427768742
7	001R	0.5	0.33109339
8	001W	0.4	0.31247615
9	001Y	0.363636364	0.146572057
10	002F	0.636363636	0.111721874
11	002G	0	0.326763996
12	002L	0.545454545	0.258118652
13	002N	0.7	0.256289433
14	002P	0.4	0.139162532
15	002Y	0.555555556	0.335418689
16	003F	0.545454545	0.225855369
17	003G	0.636363636	0.200162693
18	003L	0.545454545	0.402357746
19	003N	0.8	0.341694426
20	003P	0.181818182	0.276760954
21	003R	0.545454545	0.160292958
22	003Y	0.4	0.188673204
23	004F	0.636363636	0.182374645
24	004G	0.727272727	0.355055725
25	004L	0.545454545	0.161321115
26	004N	0.363636364	0.143029953
27	004P	0.727272727	0.255810538
28	004R	0.5	0.159844669
29	004W	0.363636364	0.186882614
30	004Y	0.545454545	0.148907034
31	005F	0.272727273	0.158357581
32	005N	0.636363636	0.334124767
33	005P	0.363636364	0.376090558
34	005R	0.545454545	0.211428191
35	005W	0.5	0.376471907
36	005Y	0.4	0.210483387
37	006F	0.636363636	0.179649765
38	006G	0.625	0.247116144
39	006L	0.363636364	0.201723606
40	006N	0.454545455	0.374377451
41	006P	0.2	0.563644796
42	006R	0.3	0.219575738
43	006W	0.545454545	0.546160331
44	006Y	0.454545455	0.42915865
45	007F	0.454545455	0.338390796
46	007G	0.8	0.136387432
47	007L	0.545454545	0.245852966
48	007N	0.6	0.36751097
49	007P	0.7	0.242694892
50	007R	0.818181818	0.144024953
51	007W	0.142857143	0.190031458
52	007Y	0.454545455	0.230688797
53	008F	0.272727273	0.176009288
54	008G	0.545454545	0.226078329
55	008L	0.454545455	0.232282145
56	008N	0.727272727	0.242573038
57	008P	0.454545455	0.21387537
58	008R	0.4	0.240028805
59	008W	0.666666667	0.551428901
60	008Y	0.727272727	0.195436103
61	009F	0.454545455	0.179542415
62	009G	0.545454545	0.351773256
63	009L	0.545454545	0.177418992
64	009N	0.2	0.11884107
65	009P	0.545454545	0.099357226
66	009R	0.636363636	0.188339489
67	009W	0.4	0.277573686
68	009Y	0.363636364	0.266758237
69	010G	0.727272727	0.234722168
70	010L	0.636363636	0.145105132
71	010N	0.363636364	0.159466303
72	010R	0.2	0.397009885
73	010W	0.4	0.435367054
74	010Y	0	0.865921289
75	011F	0.454545455	0.670765461
76	011G	0.727272727	0.142503494
77	011L	0.454545455	0.332863862
78	011N	0.363636364	0.151282836
79	011P	0.363636364	0.157371669
80	011R	0.545454545	0.267590584
81	011W	0.545454545	0.105596988
82	011Y	0.545454545	0.154545186
83	012F	0.454545455	0.255102246
84	012G	0.545454545	0.169200098
85	012L	0.454545455	0.106739737
86	012N	0.545454545	0.131111896
87	012P	0.363636364	0.163472791
88	012R	0.454545455	0.1769721
89	012W	0.6	0.185433543
90	012Y	0.636363636	0.255662017
91	013F	0.363636364	0.130781767
92	013G	0.363636364	0.188303333
93	013L	0.545454545	0.423288483
94	013N	0.454545455	0.33367671
95	013P	0.636363636	0.158399427
96	013R	0.636363636	0.179304235
97	013W	0.181818182	0.51099756
98	013Y	0.545454545	0.239608722
99	014F	0.545454545	0.318691044
100	014G	0.714285714	0.184717523
101	014L	0.636363636	0.29848121
102	014N	0.7	0.216327302
103	014P	0.454545455	0.152601679
104	014R	0.545454545	0.335846932
105	014W	0.4	0.52927659
106	014Y	0.454545455	0.264273448
107	015F	0.727272727	0.207308108
108	015G	0.5	0.135632719
109	015L	0.545454545	0.132310534
110	015N	0.545454545	0.311836899
111	015P	0.454545455	0.119548992
112	015R	0.454545455	0.389389446
113	015W	0.285714286	0.170410232
114	015Y	0.636363636	0.264746076
115	016F	0.727272727	0.202167247
116	016G	0.363636364	0.329081106
117	016L	0.636363636	0.125759023
118	016N	0.272727273	0.211569952
119	016P	0.545454545	0.284684598
120	016R	0.8	0.229963168
121	016W	0.636363636	0.338977325
122	016Y	0.727272727	0.164661339
123	017F	0.545454545	0.176712197
124	017G	0.545454545	0.253953094
125	017L	0.7	0.49166379
126	017N	0.454545455	0.227345035
127	017P	0.818181818	0.186054322
128	017R	0.636363636	0.170259215
129	017W	0.444444444	0.177336004
130	017Y	0.454545455	0.382608004
131	018F	0.636363636	0.126595223
132	018G	0.666666667	0.151074011
133	018L	0.363636364	0.396042137
134	018N	0.363636364	0.187822648
135	018P	0.454545455	0.24253339
136	018R	0.25	0.443290033
137	018W	0.428571429	0.234358736
138	018Y	0.4	0.178603351
139	019F	0.545454545	0.427555044
140	019L	0.363636364	0.431440214
141	019N	0.454545455	0.257211113
142	019P	0.454545455	0.091152249
143	019R	0.545454545	0.104913258
144	019W	0.25	0.453050533
145	019Y	0.6	0.240776739
146	020G	0.636363636	0.155115948
147	020L	0.5	0.156067394
148	020N	0.6	0.252596102
149	020P	0.454545455	0.146090278
150	020R	0.909090909	0.215524176
151	020W	0.545454545	0.379873583
152	020Y	0.363636364	0.13551161
153	021F	0.636363636	0.203726672
154	021G	0.090909091	0.24589311
155	021L	0.636363636	0.185800408
156	021N	0.545454545	0.30386333
157	021P	0.5	0.12477904
158	021R	0.454545455	0.234419817
159	021Y	0.272727273	0.183095604
160	022F	0.545454545	0.317024929
161	022G	0.545454545	0.233603267
162	022N	0.545454545	0.177185088
163	022P	0.5	0.213918106
164	022R	0.3	0.309804009
165	022W	0.2	0.340616621
166	022Y	0.818181818	0.194563963
167	023F	0.454545455	0.194492516
168	023G	0.545454545	0.167088021
169	023L	0.727272727	0.132216899
170	023N	0.454545455	0.306614713
171	023P	0.545454545	0.208850193
172	023R	0.5	0.162417048
173	023W	0.545454545	0.194791073
174	023Y	0.5	0.215132239
175	024F	0.454545455	0.192155883
176	024G	0.636363636	0.377274016
177	024L	0.3	0.162093995
178	024P	0.625	0.287539597
179	024R	0.636363636	0.160466152
180	024W	0.545454545	0.31351481
