tattoo	date	pm	socg	sett	supergroup	weight	toothwear	condition	body_length	temp	neck_diameter	captureyear	sex	age	age_years	statpak	IFNgamma	cult_SUM	cult_OA	cult_TA	cult_FAECES	cult_URINE	cult_OTHER	CaptureDate	VisualLine1	OpticalDensity1	VisualLine2	OpticalDensity2	PM	brock
UN001	13/12/1975	Yes	OUTSIDE	A46_SO_841017	NA	14.6	NA	VERY_GOOD	NA	NA	NA	1975	MALE	ADULT	NA	NA	NA	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA
GX001	09/02/1976	No	BEECH	BEECH	BEECH	9	0.25	GOOD	NA	NA	NA	1976	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA
GX002	16/02/1976	No	BEECH	BEECH	BEECH	10.9	0.25	FAIR	NA	NA	NA	1976	MALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
GX003	24/02/1976	No	YEW	YEW	YEW	9	0.75	GOOD	NA	NA	NA	1976	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
GX004	30/03/1976	No	YEW	YEW	YEW	9.1	0.75	GOOD	NA	NA	NA	1976	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA
GX005	18/05/1976	No	TOP_SETT	TOP_SETT	TOP_SETT	8.3	0.25	GOOD	NA	NA	NA	1976	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
GX006	07/06/1976	No	TOP_SETT	TOP_SETT	TOP_SETT	9.7	0.5	FAIR	NA	NA	NA	1976	MALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
GX007	22/06/1976	No	TOP_SETT	TOP_SETT	TOP_SETT	9	0.25	VERY_GOOD	NA	NA	NA	1976	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
GX009	19/07/1976	No	BEECH	BEECH	BEECH	7.5	0.75	FAIR	NA	NA	NA	1976	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
W001	20/09/1976	No	WEST	WEST	WEST	7.9	0.75	POOR	NA	NA	NA	1976	MALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G001	08/11/1976	No	CEDAR	CEDAR	CEDAR	9.9	0.75	GOOD	NA	NA	NA	1976	FEMALE	ADULT	NA	NA	NA	0	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA
G002	08/11/1976	No	CEDAR	TOWER25	CEDAR	10.9	0.5	GOOD	NA	NA	NA	1976	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA
G044	08/11/1976	No	HONEYWELL	PLATFORDS_SE_9	HONEYWELL	14.9	0.5	VERY_GOOD	NA	NA	NA	1976	FEMALE	ADULT	NA	NA	NA	0	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA
G004	07/02/1977	No	YEW	SECOND_PASTURE_7	YEW	8.8	0.25	NA	NA	NA	NA	1977	MALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G005	15/02/1977	No	TOP_SETT	PONTINS_PLANTATIO?N	TOP_SETT	NA	NA	GOOD	NA	NA	NA	1977	MALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G006	15/02/1977	No	TOP_SETT	THIRD_PASTURE_02	TOP_SETT	NA	0.25	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
UN002	16/02/1977	Yes	ATCOMBE_WEST	BOWNHILL_FARM	NA	5.9	NA	POOR	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
UN003	15/03/1977	Yes	COLE_PARK	COLE_PARK	COLE_PARK	5	NA	POOR	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
UN004	25/03/1977	Yes	HOGARTHS	OS_REF_825000	NA	6.5	NA	POOR	NA	NA	NA	1977	MALE	ADULT	NA	NA	NA	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA
G005	21/04/1977	Yes	TOP_SETT	THIRD_PASTURE_2	TOP_SETT	9.5	0	NA	NA	NA	NA	1977	MALE	ADULT	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
UN005	21/04/1977	Yes	COLLIERS_WOOD	TINKLEY_LANE	COLLIERS_WOOD	9.2	NA	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G007	03/05/1977	No	YEW	PLAIN_EIGHT	YEW	6	0.25	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
RM001	10/05/1977	Yes	BEECH	BEECH	BEECH	6	0	POOR	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA
G007	12/05/1977	Yes	YEW	MINIS_OUTLIER	YEW	5	NA	POOR	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	4	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA
GX002	22/05/1977	No	BEECH	FARMPIECE_MID	BEECH	NA	NA	POOR	NA	NA	NA	1977	MALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G008	23/05/1977	No	WEST	GLIDER_FIELD_23	WEST	8.8	0.25	GOOD	NA	NA	NA	1977	MALE	ADULT	NA	NA	NA	0	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA
G009	24/05/1977	No	HONEYWELL	PLATFORDS_SE_19	HONEYWELL	2.8	0	NA	NA	NA	NA	1977	FEMALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G010	30/05/1977	No	YEW	STONESHARD_WOOD	YEW	8.3	0.75	FAIR	NA	NA	NA	1977	MALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G011	30/05/1977	No	WEST	WEST	WEST	3.1	0	GOOD	NA	NA	NA	1977	FEMALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G012	31/05/1977	No	YEW	TAXUS	YEW	2.6	0	GOOD	NA	NA	NA	1977	MALE	CUB	0	NA	NA	0	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA
G013	01/06/1977	No	WEST	WEST	WEST	8.1	0.25	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA
G014	02/06/1977	No	YEW	TAXUS	YEW	2.6	0	GOOD	NA	NA	NA	1977	FEMALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G015	08/06/1977	No	CEDAR	SYCAMORE	CEDAR	4	0	NA	NA	NA	NA	1977	MALE	CUB	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G017	08/06/1977	No	YEW	TAXUS	YEW	7.5	0.25	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G018	09/06/1977	No	CEDAR	RABBIT	CEDAR	3.1	0	GOOD	NA	NA	NA	1977	MALE	CUB	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G019	09/06/1977	No	LARCH	WEST_MARMON_RD	LARCH	7.6	0.75	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G020	10/06/1977	No	YEW	YEW	YEW	7.1	0.5	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
G021	10/06/1977	No	CEDAR	SYCAMORE	CEDAR	8	0.5	GOOD	NA	NA	NA	1977	FEMALE	ADULT	NA	NA	NA	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA
